@relation LocationAndTimeAndSubtittle

@attribute subtittle string
@attribute location string
@attribute time string

@data
'tujuh peras hercules','jakarta barat',16/4/2013
'gadis 16 perkosa paman',baru,17/5
'nenek lumpuh usia 91 perkosa kakek 71','bolaang mongondow',16/8/2015
'ajar smk ypkk bunuh hamil muda',sleman,25/4
'wartawan korban pukul suporter persis solo',yogyakarta,27/4
'anggota dewan cabuli gadis umur',sampang,15/4
'makelar sepeda motor cabuli anak tiri',kampar,29/4
'20 selam kerah cari korban arinda','',20/4
'aiptu labora sitorus resmi ditahan rutan bareskrim','jakarta selatan',18/5
'polisi rekening rp 15 triliun ditahan','jakarta selatan',19/5
'istri duga bawa kabur oknum polisi suami propam',probolinggo,15/5
'polisi kejar culik asing aceh','aceh timur',11/6
'anggota buser polda bali bekingi komplot curi sepeda motor',denpasar,24/4
'curi hp ajar smp pukul','jakarta timur',15/5
'curi jaket muda hajar massa','ogan komering ilir',23/4
'curi babak belur hajar',pekanbaru,1/5
'polres bekuk jaring curi sapi',tuban,28/4
'rp99 raib makan bakso','tanjung jabung timur',14/5
'dor polisi tembak curi sepeda motor',pontianak,24/4/2013
'pelaku curanmor lumpuh',tangerang,14/4
'2 anggota opm tewas tembak',sorong,1/5/2013
'polisi selidiki soal kait tewas tito kei',bekasi,31/5
'mayat lakilaki geletak terminal kalideres','jakarta barat',25/5
'polisi sebar foto mayat kardus',tabanan,13/4
'temu mayat lakilaki busana',banjarmasin,25/5
'istri ipar bripka jefri sa luka serius','',27/4
'jejak sepatu lars bekas tubuh korban',magelang,14/4
'mahasiswi gegar otak aniaya pacar',metro,25/4
'liput rusuh musi rawas jurnalis jambi aniaya','musi rawas',30/4
'seniman korban keras tentara demo',magelang,18/4
'perempuan edar pakai sabu tangkap','aceh tamiang',1/5
'polisi tangkap bapakanak edar ganja',bekasi,20/4
'polisi tembak mati edar narkoba',medan,23/4
'polsek taman sari gagal edar ganja 48 kilogram','jakarta barat',20/4
'edar ekstasi tukang sayur ringkus polisi',semarang,25/4
'edar ganja antarprovinsi tangkap',jambi,19/4
'polisi sergap kurir ganja 39 kilogram','rokan hilir',19/5
'polda jaya sita 500 kg ganja cipayung','jakarta timur',6/5
'ibu tangga edar uang palsu rp12 triliun',bogor,30/4
'garagara knalpot bising muda keroyok tewas',sukabumi,5/5
'maling tewas hajar massa','padang lawas',27/4
'nyanyi reza artamevia tuntut adil',sukabumi,5/5
'polisi tangkap 4 muda keroyok 2 anggota tniad',magelang,6/5
'sutarman janji ungkap keroyok serka heru santoso',yogyakarta,19/3
'demo tol bonek keroyok sabet celurit',surabaya,15/4
'wartawan rci sadar keroyok mahasiswa','jakarta pusat',22/5
'gelap dana jamsostek usaha polisi',yogyakarta,6/5
'aparat lukai dagang stasiun pasar','jakarta selatan',18/4
'rusak ibadah jemaah ahmadiyah tangkap',tasikmalaya,7/5
'mobil tembak desainer polisi',belitung,14/8/2015
'kantor pdip hancur rusak massa',langkat,21/4
'jemaah ahmadiyah rusak massa',tasikmalaya,5/5
'polisi tangkap 2 pelaku kasus ahmadiyah',tasikmalaya,7/5
'usaha pelaku budak rusak massa',lebak,6/5
'timbun solar digerebek',magelang,19/4
'tangkap polisi timbun 14 ton premium suami kabur istri','bengkulu selatan',1/5
'andika eks kangen band vonis 7 penjara','',24/4
'duga tipu ratus nasabah investasi emas demo',bandung,30/4
'ustadz dosen ugm residivis lari uang jemaah',yogyakarta,20/4
'mahasiswi trisaksi todong pistol kasih','jakarta selatan',25/4
'lerai kelahi remaja tewas tusuk','jakarta barat',24/5
'polisi pulau yapen tewas tusuk opm','kepulauan yapen',27/4
'lelaki tusuk kawasan senayan',cilacap,7/5
'rugi negara 22 usaha tambang kpk',bangka,''
'bea cukai gagal seludup beras impor','banda aceh',24/5
'bea cukai gagal selundup sabu 718 gram',dumai,27/4
'selundup 15 kg ganja lp banceuy gagal',bandung,15/5
'polisi gagal selundup 68 kilogram ganja','lampung selatan',4/5
'selundup pupuk subsidi timor leste gagal','timor tengah utara',5/5
'ayah tomic laku','',6/5
'kantor dpp pdip duga anggota tni','jakarta selatan',19/4
'tni polri saksi sidang oku',palembang,25/4
'polisi tangkap pelaku asrama polsek anggaisera','kepulauan yapen',27/4
'buntut kantor pdip tuntut tni tanggung jawab','',20/4
'kampung ahmadiyah massa jaga',tasikmalaya,5/5
'dirjen pajak tangkap anak buah','jakarta timur',15/5
'indoguna ikan rp13 miliar lhi af',medan,24/4
'jaksa indoguna suap lhi 8000 ton kuota sapi','',24/4
'lari uang rp 300 pt indoguna',medan,10/1/2013
'laglagi kpk tangkap pajak terima suap','jakarta timur',15/5
'urun suap hakim setyabudi',bandung,8/5
'ajar rampok bekuk polisi',bekasi,28/4
'kawan rampok aksi bakal caleg',klaten,15/5
'nenek toko kelontong tewas hajar rampok',semarang,8/5
'rampok senjata api aksi',bekasi,12/6
'polda rampok bri oknum polisi',kampar,26/4
'polresta tangkap rampok senjata jatiasih',bekasi,28/4
'uang rp480 buah restoran siap saji rampok','jakarta selatan',29/4
'kadin anggap pemda lalai awasi usaha',lebak,6/5
'kadin kutuk tindak budak buruh',lebak,6/5
'ibu coba bunuh minyak tanah',mukomuko,5/5
'kemendag sita puluh blackberry ilegal','',27/5
'bayi korban dagang',pontianak,22/5
'bareskrim polri gerebek judi online',medan,1/5
'polisi selidiki kelahi senjata',pamekasan,4/5
'lerai tikai waykanan pj kapolsek kabar luka',jambi,16/4
'anggota geng motor perempuan tangkap',pekanbaru,15/5
'puluh preman',medan,14/4
'ahok geram pungli sekolah','',15/4
'puting beliung porakporandakan deli serdang','deli serdang',14/4
'bos anak usaha pt indoguna kenal lutfhi fathanah','',1/5
'bengawan solo siaga areal tani genang',bojonegoro,20/4
'anggota tni temu tewas pinggir','jakarta timur',20/4
'tanah banyuresmi terbelah',sumedang,1/5
'tanggul jebol jalur jepara putus',demak,21/4
'ajar cengkareng tewas tawur','',15/5
'korban tenggelam pantai wisata lampuuk temu','banda aceh',12/5
'kantor satpol pp biltar lempar bom molotov',blitar,1/5
'densus 88 bawa rangkai bom',bangka,2/5
'densus 88 gerebek duga teroris mampang',bangka,2/5
'duga teroris tangkap mampang',bangka,3/5
'jenazah teroris abu roban makam',batang,25/5
'jpu tuntut dakwa bom beiji maksimal 12 penjara',depok,27/5
'keluarga pasrah ovi tangkap densus 88 antiteror','jakarta pusat',2/5
'polri tahan 10 duga teroris',kendal,8/5
'polri kejar duga teroris',karo,2/5
'densus gerebek duga tereroris benhil',bangka,2/5
'2000 polri tangkap 845 duga teroris',bandung,15/5
'duga teroris asli mampang','jakarta selatan',3/5
'evakuasi korban big gossan selesai',bone,14/5/2013.rabu
'wisatawan hilang pantai anti temu tewas',kebumen,12/5
'banjir grogol lintas macet','jakarta barat',19/5/2013
'banjir kampung pulo setinggi 1 meter','jakarta timur',7/5/2013
'habis hujan terbit genang air jakarta','jakarta timur',25/4/2013
'sunter luap cipinang layu banjir 1 meter','jakarta timur',18/4/2013
'kalong banjir',pekalongan,5/8/2015
'tanam tembakau rendam banjir',pamekasan,12/6/2013
'bentrok tni 10 luka serius',kebumen,22/8/2015
'kelompok napi salemba bentrok',palembang,24/5/2013
'guru silat kendara jalur trans timor macet',kupang,5/8/2015
'duga bunuh polisi tewas luka tembak','jakarta timur',24/5/2013
'duga depresi akbar gantung pohon nangka','',7/8/2015
'jemput anak pulang sekolah wanita gantung',semarang,12/8/2015
'irt tewas gantung',manado,4/8/2015
'cerai ateng pilih bunuh','',22/5/2013
'gel linu kakek batu gantung','',11/8/2015
'cuaca buruk darat alih',padang,7/5/2013
'cuaca buruk menakertrans batal pimpin evakuasi korban freeport','jakarta pusat',19/5/2013
'cuaca buruk truk antre kilo rak',cilegon,13/6/2013
'cuaca ekstrem layar buka',sumenep,15/6/2013
'bandara ngurah rai gunung raung erupsi',makassar,8/8/2015
'selimut abu vulkanik gunung raung',banyuwangi,6/8/2015
'gelombang merakbakauheni capai 15 meter','',29/4/2013
'gempa 40 sr guncang kefamenanu lari','timor tengah utara',6/8/2015
'gempa 48 sr guncang',ternate,16/8/2015
'gempa 49 sr guncang ntt',ende,8/8/2015
'gempa 5 sr guncang',padang,12/6/2013
'gempa 51 sr guncang patah sumatera tawa',padang,''
'gempa dieng',banjarnegara,19/4/2013
'gempa guncang sumut bali papua',klungkung,6/8/2015
'kawah timbang guncang',banjarnegara,19/4/2013
'anggota geng motor cokok',makassar,15/5/2013
'habis geng terbit geng',yogyakarta,18/4/2013
'hujan angin baliho sby praspa tnipolri ambruk',surabaya,2/7/2013
'53 imigran gelap tangkap',rembang,28/4/2013
'kabut asap lagilagi ganggu terbang',jambi,15/4/2013
'kapal kandas hantam ombak ratus tumpang evakuasi',padang,19/6/2013
'kapal ledak kutai timur 4 tewas','kutai timur',1/5/2013
'cari korban kapal tenggelam kendala arus deras mahakam',samarinda,18/4/2013
'kapal bakar abk terombangambing',sumenep,20/4/2013
'jin ayah kandung sayat leher bayi',serang,25/4/2013
'337 kios ludes bakar dagang histeris',cirebon,24/8/2015
'air kering guna padam bakar hutan','palangka raya',12/8/2015
'api kobar bakar plaza',medan,22/8/2015
'kawasan merbabu bakar regu padam fokus awasi jalur daki',semarang,21/8/2015
'bakar gunung merbabu',magelang,21/8/2015
'bakar pabrik semen tonasa makan 1 korban tewas',makassar,19/8/2015
'kios ludes bakar',demak,14/8/2015
'plaza bakar hebat 8 saksi periksa polisi',medan,22/8/2015
'pasar bojongmeron bakar dagang tewas',cianjur,20/5/2013
'puluh kamar ternak ayam ludes bakar',sukabumi,15/8/2015
'jebak 24 jam dede lolos kobar api merbabu',magelang,21/8/2015
'gudang kasur lalap api kakek 70 bakar',palopo,6/8/2015
'330 personel gabung padam bakar gunung merbabu',magelang,22/8/2015
'lahan bambu bakar bakar sekkab tator','tana toraja',24/8/2015
'bakar plaza restoran lantai dasar',medan,22/8/2015
'restoran nagoya city walk bakar',batam,22/8/2015
'pabrik olah karet hangus lalap api','deli serdang',23/8/2015
'rs wahidin sudirohusodo bakar pasien evakuasi',makassar,20/4/2013
'bakar pasar polisi periksa tukang las',cirebon,24/8/2015
'korban tewas bom tni uang sby',situbondo,4/5/2013
'pasang suami istri tewas sambar bus dewi sri',kebumen,13/8/2015
'lansia tabrak kereta stasiun duri','jakarta pusat',28/4/2013
'bukti cctv restoran rekam ari wibowo','jakarta selatan',10/6/2013
'bus kopaja balap guling rspp','jakarta selatan',16/4/2013
'celaka maut ibu balita tewas',pasuruan,7/8/2015
