air,ajar,aksi,alias,anak,ancam,anggota,aniaya,api,arah,ayat,bahan,bakar,banjir,bantu,bawa,beri,berita,bom,buah,bumi,bunuh,capai,daerah,daging,dakwa,dasar,data,daya,derajat,edar,ganja,gas,gempa,genang,geng,getar,gudang,guna,guncang,harap,hubung,hujan,hukum,indikasi,informasi,inisial,isi,jahat,jalur,jam,jaring,jenazah,jiwa,kabid,kabur,kait,kamar,kampung,kantor,kasus,kawan,kebun,kelompok,keluarga,kembang,kena,kendara,keroyok,ketua,kios,korupsi,kuat,landa,lantai,lari,laut,ledak,ledakan,letak,libat,lihat,lintas,luap,luas,luka,masyarakat,mata,mati,menahan,menang,menggerebek,menteri,mobil,motor,mukim,narkoba,nyata,olah,operasi,pabrik,padam,pajak,pakai,paksa,pelaku,penggerebekan,penjara,periksa,peristiwa,perkosa,pidana,pil,potensi,proyek,pusat,putus,rampas,rampok,razia,rendam,resah,richter,rugi,rusak,sabu,sebut,sekolah,senjata,sentimeter,sepeda,serah,sidik,sita,skala,suap,surat,tahan,tambah,tegas,tembak,temu,tenggara,terang,terima,teroris,terorisme,tiba,tim,timbul,tindak,tsunami,tuju,turun,uang,ungkap,unit,usaha,usia,vonis,wartawan,wilayah
0,0,0,0,0,0,0,0,0,4.532792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.272515,0,5.263067,0,0,0,0,23.280591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.532792,0,0,0,0,0,4.760404,0,0,0,6.060449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.844859,0,10.176256,0,0,0,0,0,0,0,0,5.665676,0,0,0,0,0,0,0,0,0,5.158511,0,0,0,0,0,0,0,6.682788,0,4.697904,0,0,0,0,0,0,6.060449,0,0,0,0,0,0,0,0,0,8.893263
0,0,0,0,0,0,0,0,0,7.496034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.703716,20.641863,0,0,0,17.279005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.665846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.872444,14.906435,0,0,10.022374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.703716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.604602,0,0,0,16.21732,0,0,0,0,0,0,0,0,0,0,0,0,32.195347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.67335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.66844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.895147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.442783,0,0,6.199364,0,0,5.230198,6.199364,6.442783,0,0,0,0,18.026645,0,0,7.154984,0,0,10.59858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.827447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.154984,0,12.457262,0,0,0,0,0,0,7.747927,0,0,0,0,0,0,0,0,0,0,0,6.314791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,5.264119,0,0,0,0,0,0,0,0,0,0,0,0,0,5.881288,0,0,0,0,0,0,0,0,0,27.036715,0,0,0,0,0,10.05479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.528454,0,0,0,7.038251,0,0,6.787877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.350398,0,0,0,5.324212,0,0,0,0,0,0,0,5.990793,0,0,0,0,0,0,4.560744,7.760998,0,0,0,0,0,0,0,0,7.038251,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.259497,0,0,0,0,0,8.029261,0,0,0,36.987672,0,0,3.759815,0,0,0,3.257654,0,0,0,0,0,0,0,0,3.644552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.062219,0,0,0,0,0,0,0,0,0,0,0,0,0,3.202492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.969866,0,9.706568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.318309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.713081,0,3.898498,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.359625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.423192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5.637337,0,2.100695,0,15.232361,0,0,0,0,0,2.076985,0,0,1.799465,0,0,2.596088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.322267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39502,0,0,0,0,2.281199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.152642,2.033304,0,0,0,0,0,0,0,0,0,0,0,0,21.690824,0,0,0,0,0,0,0,0,0,0,1.924476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.596088,0,0,0,0,0,0,2.125853,0,0,0,2.281199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.465265,6.597038,0,0,0,0,0,0,0,0,0,2.245206,0
2.565477,0,13.569018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.820062,0,0,0,0,0,2.640663,0,0,3.266098,0,0,0,5.484189,0,0,0,0,0,0,0,2.391439,0,0,0,0,2.836373,0,0,0,0,0,6.938872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.149913,0,0,0,0,0,0,0,0,0,18.312015,0,0,0,0,10.052618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.971022,0,0,0,0,0,0,0,0,0,0,2.470699,0,0,5.139537,0,0,0,0,0,0,0,2.116412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.531795
0,0,0,4.14104,11.723703,0,6.382883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.764074,0,0,0,0,0,0,0,0,0,4.330731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.98908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.747815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.795646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.086671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
